user,poems
863,"[10527, 19695]"
864,[4054]
868,"[10838, 10836, 10835, 10602, 62, 787, 9500, 2500]"
880,"[4594, 2131, 4694, 9217, 9219, 9202, 70, 896, 1967, 749, 85, 34633, 34483, 35729, 193, 23657, 9682, 43955, 45346, 34537, 34327, 34597, 28748, 28951, 31161, 26801, 28728, 26511, 27158, 34802, 28603, 30473, 28621, 28085, 28585, 26514, 28357, 28946, 27570, 26630, 26746, 29104, 27695, 29385, 35487, 35698, 35095, 35096, 34635, 28595, 36059, 36062, 36538, 36625, 37270, 37245, 37367, 36309, 37608, 37607, 37606, 37741, 37743, 37759, 37864, 38102, 38101, 38098, 38068, 38142, 38204, 38276, 38306, 38474, 40946, 41822, 42084, 42817, 20289, 52410, 63644, 65954, 78026, 18366, 98693, 97345]"
881,[2648]
884,[341]
892,[100]
893,"[11765, 10356, 15419, 9685, 15140, 11305, 6776, 2642, 378, 14053, 10326, 19052, 11323, 4605, 8799, 14280, 11212, 6744, 19562, 18324, 17275, 14382, 15072, 21156, 15926, 1090, 7360, 6730, 10284, 23616, 23874, 11740, 14040, 9011, 8893, 417, 6750, 22801, 14416, 28234]"
901,"[190, 6000, 3257]"
902,"[3309, 62, 91, 195]"
918,[14928]
922,"[9501, 34521, 31748, 32730, 31665, 31749, 34532]"
924,[2677]
928,"[11318, 9739]"
930,"[548, 115, 549]"
931,[1152]
935,"[1009, 195]"
937,"[6968, 75, 25236]"
947,"[4651, 2509]"
954,[11610]
957,"[548, 130, 27578, 21874, 30807, 34718, 36664, 92]"
962,"[925, 183, 940, 9410]"
964,"[11503, 11487, 11456, 705, 11490, 49996]"
971,"[1398, 8530]"
981,"[11538, 11539]"
982,"[11511, 10987, 11510, 10364, 10360, 11221, 11657]"
991,"[14776, 11674, 11559, 11599, 11598, 11786, 12916, 11566, 30215]"
994,[35693]
996,[6327]
1002,[1849]
1004,"[85, 743, 183, 14041, 914, 976]"
1007,"[14470, 14475, 15164, 11912, 11565, 11598, 11681, 12768, 14733, 11818, 11564, 12219, 14496, 11549, 11551, 11554, 11996, 11682, 11674, 11629, 12857, 8408, 15305, 15331, 15333, 15332, 15729, 15874, 16144, 16225, 14412, 23657, 26916, 11636, 31161, 38679, 38685, 38995, 39224, 39269, 39398, 40609, 41927, 42084, 28936, 43449, 43450, 43582, 43650, 15172, 43943, 44025, 44049, 44076, 44445, 44430, 38578, 39420, 44512, 11972, 45029, 45288, 45346, 45442, 45799, 45986, 50581]"
1010,"[11662, 11666, 29456, 11792]"
1014,"[6951, 3240, 395, 2349]"
1023,"[10554, 10518, 193, 195, 6974, 11676, 2396]"
1031,"[11698, 709, 11697, 11704]"
1033,"[7890, 12863]"
1034,"[9470, 37741]"
1035,"[3775, 1756, 2691, 5047]"
1040,"[4594, 68, 2166, 89, 7936, 90, 1461, 2010, 4733, 71, 2014, 193, 83, 2513, 338, 299, 94, 4215, 6704]"
1041,[2376]
1043,"[15754, 15930, 11722, 11724, 11723, 15753]"
1050,[14936]
1053,[11698]
1058,"[5238, 9742, 29562, 11992, 12303, 811, 1246]"
1063,[40557]
1070,"[2510, 4607]"
1075,"[10272, 10280]"
1076,"[925, 916, 99, 10274, 805]"
1080,"[6, 17850]"
1105,[1365]
1109,[3292]
1113,[2013]
1117,[6974]
1124,"[338, 542, 1979, 85, 114, 545, 337, 5383, 4421, 4259, 6615, 4332]"
1125,"[17, 11, 9619, 16, 7792]"
1130,[2512]
1133,"[1935, 7591, 7592, 7590, 7593, 7594, 17, 4894, 4899, 6080, 4892]"
1143,"[4148, 1717, 10699, 187, 354, 2393]"
1146,"[6326, 5646, 6309, 6914, 5976, 6310, 7043, 10814, 7269, 10156, 12659, 12664]"
1148,"[83, 4465, 2496, 671]"
1150,[129]
1153,[809]
1158,"[7252, 6823]"
1175,[58]
1178,"[2581, 3358]"
1183,[8530]
1185,"[748, 61798, 57527, 31595, 32087, 6202, 223]"
1192,[3249]
1198,[8810]
1200,[430]
1203,"[4647, 12659, 6914, 11703, 2478, 10814, 5218]"
1207,"[195, 7223]"
1217,"[354, 11, 4340, 30, 12, 24, 12646]"
1221,[2376]
1222,"[4480, 6913, 11828, 44486, 44487, 11698]"
1224,"[2311, 2115]"
1226,"[9590, 6914, 195]"
1233,"[22237, 22236, 26408, 26423, 15074, 2596]"
1237,[26673]
1243,"[2963, 25016]"
1247,[9619]
1250,"[10814, 3358, 38, 2513]"
1255,[195]
1261,[5124]
1266,"[2690, 35615]"
1272,[2330]
1275,"[5192, 4226]"
1276,"[15216, 1242, 10380, 9784]"
1280,"[12600, 12662, 7042, 12664, 12665, 12669]"
1283,[11417]
1294,"[8271, 7647, 2322, 21908, 1400]"
1308,[5344]
1311,[8311]
1316,"[12, 11, 11208, 12354, 4604, 13667]"
1317,"[4594, 2396, 41, 195, 52, 16430, 6789, 787, 4604, 179, 1243, 16496, 2690, 11541, 13773, 731, 38, 28, 749, 1167, 193, 1717, 2376, 10382, 338, 870, 85, 2618, 1230, 546, 2529, 14064]"
1323,[8124]
1326,"[338, 2014, 193, 5218, 114, 83, 52, 1420, 50, 43, 12, 1717, 146, 8, 10602, 25210]"
1337,"[8379, 8352]"
1343,"[23, 16449, 28957, 29613, 1506, 29404]"
1344,"[953, 183]"
1352,"[9590, 39518, 12422]"
1354,"[14928, 338]"
1372,[15840]
1379,"[805, 3935, 227, 5546, 130, 91, 9202, 114, 299, 7233, 5218, 2683, 2496]"
1389,"[52, 115]"
1402,"[2390, 5152]"
1405,[91]
1420,[6914]
1423,"[8542, 8545]"
1425,[351]
1437,[4291]
1443,"[4911, 11695, 6737]"
1445,[630]
1447,"[18468, 3773, 32119, 29831, 17383, 38758]"
1453,[1465]
1457,"[6, 179, 100, 83, 82, 81, 59, 2648, 891, 18017, 1412, 24582]"
1460,"[1123, 14272, 1146, 69, 7306, 1132, 1209, 2176, 970, 9790, 1164, 21274, 7330, 37001, 11799, 13201, 7521, 26535, 32325, 23176, 14111, 4192, 1291, 13198, 27434, 566, 1325, 9791, 7689, 7563, 7310, 15850, 17832, 36987, 23266, 37155, 17246, 12782, 12777, 8382, 4250, 4445, 4446, 1336]"
1471,[1921]
1477,"[46, 22322, 10689]"
1484,[94]
1486,"[129, 115]"
1487,[2911]
1492,[2362]
1499,[468]
1503,[195]
1505,"[230, 183, 928, 8912, 904, 8109, 8091, 92, 6292, 968, 13257, 3448]"
1508,"[230, 14856, 114, 195, 430, 4420]"
1509,"[115, 2168]"
1516,[1466]
1517,[5324]
1524,[8530]
1525,[14776]
1526,[920]
1531,[5508]
1533,[8122]
1550,"[26939, 9191]"
1554,[19400]
1557,[32]
1564,[18163]
1570,[10382]
1586,"[4913, 20953, 2679, 7274, 36086]"
1598,[6142]
1599,[739]
1609,"[6912, 5728, 5998, 6024]"
1615,[1242]
1616,[2648]
1617,"[2618, 195, 4594]"
1619,"[5508, 5506, 5504, 2113, 5507, 5509, 7261, 6634, 2370, 4440, 10068, 6540, 16019, 10071, 10108, 13226]"
1634,[6974]
1649,[4594]
1650,"[26547, 22216]"
1657,[14366]
1658,"[8091, 9871, 9657]"
1665,"[4465, 1771, 1336]"
1667,[1935]
1676,"[14291, 14396, 2043, 14475, 4025, 2014, 1366, 1362, 5398, 5391, 12634, 1398, 3443, 1420, 1365]"
1680,"[62, 2462, 5202, 5203, 5204, 3444, 2535, 7230]"
1681,[4605]
1686,[20524]
1691,"[549, 5675, 546, 8315, 123, 14078]"
1693,"[5344, 85]"
1694,"[341, 347, 349, 343, 508, 431, 553, 1416]"
1702,[2601]
1703,[14800]
1711,[5740]
1714,"[7223, 4594]"
1715,[182]
1734,"[971, 9897, 4478, 106, 4495, 3240, 937]"
1733,"[2343, 4518, 4468, 4470, 106, 4514, 4474, 4555, 4517, 4480, 4478]"
1736,"[1009, 63]"
1730,"[3254, 3249]"
1741,"[9501, 16026]"
1744,"[13356, 14113, 11789, 28037, 53144, 14279, 6238, 6264, 131, 6239, 64197, 3314, 703, 15334, 37498]"
1752,[5108]
1761,[10364]
1765,[1935]
1789,[440]
1791,"[7501, 193, 2512, 3358]"
1796,[83]
1807,[2920]
1809,[11699]
1830,[46]
